,from,open,close,min,max,volume
12622,1624470300,0.75778,0.75774,0.75769,0.75793,84
12623,1624470600,0.75774,0.75794,0.75769,0.75799,136
12624,1624470900,0.75794,0.75789,0.75783,0.75795,86
12625,1624471200,0.75789,0.75779,0.75767,0.75793,137
12626,1624471500,0.75779,0.7578,0.75777,0.75785,84
12627,1624471800,0.7578,0.75765,0.75763,0.75793,99
12628,1624472100,0.75765,0.75753,0.75737,0.7577,118
12629,1624472400,0.75753,0.75761,0.75741,0.75771,111
12630,1624472700,0.75761,0.75754,0.75754,0.75771,103
12631,1624473000,0.75755,0.75729,0.7572,0.75755,240
12632,1624473300,0.75729,0.75732,0.7572,0.75739,156
12633,1624473600,0.75732,0.75738,0.75731,0.75743,112
12634,1624473900,0.75738,0.75724,0.75723,0.75754,70
12635,1624474200,0.75724,0.75724,0.75721,0.75735,95
12636,1624474500,0.75724,0.75735,0.75719,0.75737,188
12637,1624474800,0.75735,0.75728,0.75715,0.75741,151
12638,1624475100,0.75727,0.75707,0.75699,0.75728,135
12639,1624475400,0.75707,0.75709,0.75704,0.75717,135
12640,1624475700,0.75709,0.75713,0.75708,0.75729,198
12641,1624476000,0.75714,0.75749,0.75713,0.7575,203
12642,1624476300,0.75749,0.7575,0.75739,0.75754,233
12643,1624476600,0.75751,0.75733,0.75725,0.75753,197
12644,1624476900,0.75733,0.75721,0.75709,0.75733,121
12645,1624477200,0.75721,0.75717,0.75714,0.75731,124
12646,1624477500,0.75715,0.75679,0.75675,0.75715,193
12647,1624477800,0.75679,0.75685,0.75667,0.75685,280
12648,1624478100,0.75685,0.75719,0.7567,0.75726,298
12649,1624478400,0.75716,0.75729,0.7571,0.75744,180
12650,1624478700,0.75729,0.75723,0.75723,0.75739,114
12651,1624479000,0.75723,0.75718,0.75709,0.75733,141
12652,1624479300,0.75718,0.75737,0.75715,0.75737,54
12653,1624479600,0.75737,0.75739,0.75726,0.75739,23
12654,1624479900,0.75739,0.75744,0.7573,0.75744,27
12655,1624480200,0.75745,0.75749,0.75742,0.75749,72
12656,1624480500,0.75749,0.75753,0.75747,0.75753,61
12657,1624480800,0.75753,0.75765,0.75753,0.75765,77
12658,1624481100,0.75765,0.75764,0.75763,0.75773,76
12659,1624481400,0.75764,0.75766,0.75758,0.75775,106
12660,1624481700,0.75766,0.75759,0.75754,0.75772,265
12661,1624482000,0.75759,0.75759,0.75753,0.75769,10
12662,1624482300,0.75759,0.75741,0.75726,0.75759,15
12663,1624482600,0.75741,0.75741,0.75741,0.75741,0
12664,1624482900,0.75741,0.75745,0.75741,0.75745,1
12665,1624483200,0.75745,0.75748,0.75745,0.75748,2
12666,1624483500,0.75748,0.75748,0.75748,0.75748,0
12667,1624483800,0.75748,0.75748,0.75744,0.75748,3
12668,1624484100,0.75748,0.75737,0.75731,0.75748,12
12669,1624484400,0.75737,0.75747,0.75733,0.75747,17
12670,1624484700,0.75747,0.75753,0.75743,0.75754,19
12671,1624485000,0.75753,0.75745,0.75745,0.75753,3
12672,1624485300,0.75745,0.75747,0.75737,0.75747,11
12673,1624485600,0.75741,0.75779,0.75741,0.7578,88
12674,1624485900,0.75779,0.75785,0.75779,0.75789,33
12675,1624486200,0.75785,0.75781,0.7578,0.75785,11
