,from,open,close,min,max,volume
212,1624347300,0.8572,0.857,0.85693,0.8572,247
213,1624347600,0.85701,0.857,0.85699,0.85707,251
214,1624347900,0.85699,0.85729,0.85687,0.85747,333
215,1624348200,0.85731,0.85739,0.85731,0.85776,477
216,1624348500,0.85739,0.85711,0.85707,0.85761,459
217,1624348800,0.85712,0.85713,0.85671,0.85719,470
218,1624349100,0.85713,0.85757,0.85713,0.85757,232
219,1624349400,0.85757,0.85726,0.85721,0.85777,346
220,1624349700,0.85725,0.85751,0.85723,0.85753,306
221,1624350000,0.85751,0.85715,0.85711,0.8576,242
222,1624350300,0.85715,0.85774,0.85715,0.85774,323
223,1624350600,0.85774,0.8579,0.85761,0.85799,447
224,1624350900,0.85789,0.85783,0.85775,0.85801,323
225,1624351200,0.85783,0.85777,0.85772,0.85793,184
226,1624351500,0.85779,0.85765,0.85765,0.85801,202
227,1624351800,0.85765,0.85747,0.85745,0.85771,177
228,1624352100,0.85747,0.85787,0.85731,0.85789,358
229,1624352400,0.85787,0.8579,0.85783,0.85827,426
230,1624352700,0.8579,0.85735,0.85735,0.85799,262
231,1624353000,0.85735,0.85717,0.85707,0.85741,266
232,1624353300,0.85719,0.85747,0.85719,0.85747,116
233,1624353600,0.85747,0.85735,0.85732,0.85753,155
234,1624353900,0.85735,0.85708,0.85705,0.85737,128
235,1624354200,0.85708,0.85717,0.85707,0.85723,208
236,1624354500,0.85717,0.85711,0.85685,0.85738,559
237,1624354800,0.85711,0.85691,0.85684,0.85716,406
238,1624355100,0.85691,0.85682,0.85682,0.8572,263
239,1624355400,0.85681,0.85717,0.85679,0.8573,299
240,1624355700,0.85717,0.85672,0.85669,0.8572,185
241,1624356000,0.85673,0.85683,0.85672,0.85695,206
242,1624356300,0.85682,0.85671,0.85669,0.85695,334
243,1624356600,0.85671,0.85677,0.85666,0.85686,216
244,1624356900,0.85677,0.85701,0.85677,0.85707,233
245,1624357200,0.85702,0.85684,0.85684,0.85702,128
246,1624357500,0.85684,0.85689,0.85683,0.85695,240
247,1624357800,0.85689,0.85684,0.85671,0.85691,192
248,1624358100,0.85684,0.85713,0.85681,0.85715,150
249,1624358400,0.85713,0.85696,0.85693,0.85719,195
250,1624358700,0.85695,0.85661,0.85657,0.85711,262
251,1624359000,0.85661,0.85649,0.85647,0.85663,230
252,1624359300,0.85649,0.85701,0.85641,0.85701,220
253,1624359600,0.85701,0.85695,0.85665,0.85701,218
254,1624359900,0.85696,0.85663,0.85661,0.85699,240
255,1624360200,0.85662,0.85637,0.85635,0.85662,181
256,1624360500,0.85639,0.85665,0.85639,0.85675,245
257,1624360800,0.85666,0.85687,0.85655,0.85687,217
258,1624361100,0.85687,0.85653,0.85646,0.85695,190
259,1624361400,0.85652,0.85614,0.85605,0.85652,355
260,1624361700,0.85614,0.85631,0.85603,0.85635,273
261,1624362000,0.85631,0.85611,0.8561,0.85631,260
262,1624362300,0.85611,0.85597,0.85591,0.85619,325
263,1624362600,0.85597,0.85581,0.85572,0.85598,354
264,1624362900,0.85581,0.85563,0.85547,0.85587,463
265,1624363200,0.85563,0.85551,0.85549,0.85575,287
266,1624363500,0.8555,0.85543,0.85541,0.85553,194
267,1624363800,0.85543,0.85563,0.85543,0.85569,219
268,1624364100,0.85563,0.85545,0.85545,0.85577,209
269,1624364400,0.85546,0.85569,0.85546,0.85584,248
270,1624364700,0.85569,0.85582,0.85551,0.85589,365
271,1624365000,0.85582,0.85565,0.85562,0.85582,267
272,1624365300,0.85565,0.85569,0.85552,0.85575,266
273,1624365600,0.85567,0.85575,0.85566,0.85592,299
274,1624365900,0.85575,0.85628,0.85574,0.85631,242
275,1624366200,0.85628,0.85643,0.85627,0.85663,298
276,1624366500,0.85642,0.85655,0.85634,0.85665,320
277,1624366800,0.85655,0.85656,0.85652,0.85679,484
278,1624367100,0.85656,0.8563,0.85627,0.8567,367
279,1624367400,0.8563,0.85685,0.8563,0.85701,335
280,1624367700,0.85683,0.85692,0.85674,0.85696,373
281,1624368000,0.85692,0.85683,0.85669,0.85703,279
282,1624368300,0.85681,0.85681,0.85675,0.85699,233
283,1624368600,0.85681,0.85697,0.85673,0.85709,510
284,1624368900,0.85697,0.85731,0.85695,0.85743,630
285,1624369200,0.85729,0.85713,0.85713,0.85733,495
286,1624369500,0.85713,0.85665,0.85648,0.85713,535
287,1624369800,0.85663,0.85661,0.85647,0.85686,407
288,1624370100,0.8566,0.85676,0.85643,0.85687,563
289,1624370400,0.85678,0.85676,0.85648,0.85684,526
290,1624370700,0.85677,0.8563,0.85629,0.85677,373
291,1624371000,0.85631,0.85645,0.85613,0.85647,419
292,1624371300,0.85645,0.85655,0.85643,0.85661,311
293,1624371600,0.85655,0.85601,0.85596,0.85659,437
294,1624371900,0.85601,0.85597,0.85581,0.85614,417
295,1624372200,0.85596,0.85541,0.85538,0.85596,425
296,1624372500,0.85541,0.85541,0.85522,0.85541,311
297,1624372800,0.8554,0.85547,0.85536,0.85553,300
298,1624373100,0.85547,0.85541,0.85527,0.85553,588
299,1624373400,0.85541,0.85544,0.85537,0.85561,538
300,1624373700,0.85542,0.85511,0.85491,0.85543,745
301,1624374000,0.85511,0.85537,0.85493,0.85537,571
302,1624374300,0.85537,0.85495,0.85494,0.85549,253
303,1624374600,0.85495,0.85489,0.85477,0.85497,450
304,1624374900,0.85487,0.85501,0.8548,0.85501,324
305,1624375200,0.85501,0.85523,0.85489,0.85524,202
306,1624375500,0.85523,0.85513,0.8551,0.85529,201
307,1624375800,0.85514,0.85525,0.85509,0.85536,221
308,1624376100,0.85527,0.85547,0.85524,0.8555,197
309,1624376400,0.85547,0.85567,0.85541,0.85569,112
310,1624376700,0.85567,0.85551,0.85539,0.85569,133
311,1624377000,0.85551,0.85569,0.8555,0.85575,221
312,1624377300,0.85569,0.8556,0.85551,0.85575,164
313,1624377600,0.8556,0.85559,0.85553,0.85571,176
314,1624377900,0.85559,0.85547,0.85547,0.85567,166
315,1624378200,0.85547,0.85543,0.85543,0.85565,191
316,1624378500,0.85543,0.85554,0.85529,0.8556,283
317,1624378800,0.85554,0.85597,0.85547,0.85609,381
318,1624379100,0.85597,0.85606,0.85593,0.85617,401
319,1624379400,0.85605,0.85621,0.85596,0.85621,425
320,1624379700,0.85621,0.85651,0.85602,0.85666,525
321,1624380000,0.85651,0.85639,0.85633,0.85661,346
322,1624380300,0.85639,0.85629,0.85626,0.85648,271
323,1624380600,0.85628,0.85616,0.85609,0.85629,277
324,1624380900,0.85616,0.85619,0.85607,0.85622,266
325,1624381200,0.8562,0.85606,0.85604,0.85632,182
326,1624381500,0.85606,0.8561,0.85606,0.85626,125
327,1624381800,0.8561,0.85596,0.85595,0.85611,100
328,1624382100,0.85596,0.85609,0.85593,0.85611,221
329,1624382400,0.85609,0.85612,0.85605,0.85617,125
330,1624382700,0.85612,0.85611,0.85605,0.85616,119
331,1624383000,0.85611,0.85621,0.85599,0.85625,127
332,1624383300,0.85621,0.85616,0.85615,0.85628,91
333,1624383600,0.85617,0.85612,0.85611,0.85619,58
334,1624383900,0.85612,0.85615,0.85609,0.85621,146
335,1624384200,0.85615,0.85608,0.85605,0.85617,87
336,1624384500,0.85608,0.85629,0.85607,0.85637,294
337,1624384800,0.85629,0.85635,0.85626,0.85639,307
338,1624385100,0.85636,0.85626,0.85625,0.85636,153
339,1624385400,0.85626,0.85629,0.85613,0.8563,174
340,1624385700,0.85631,0.85645,0.85629,0.85647,210
341,1624386000,0.85645,0.85643,0.85635,0.85645,122
342,1624386300,0.85641,0.85637,0.85635,0.85645,94
343,1624386600,0.85637,0.85655,0.85631,0.85655,212
344,1624386900,0.85655,0.8564,0.85639,0.85663,214
345,1624387200,0.85641,0.85631,0.85623,0.85646,266
346,1624387500,0.85632,0.85631,0.85625,0.85647,228
347,1624387800,0.85631,0.85623,0.85619,0.85633,232
348,1624388100,0.85623,0.85616,0.8561,0.85623,248
349,1624388400,0.85618,0.85589,0.85589,0.85619,284
350,1624388700,0.8559,0.85601,0.85579,0.85605,276
351,1624389000,0.85601,0.85613,0.85601,0.85617,306
352,1624389300,0.85614,0.85619,0.85613,0.85622,163
353,1624389600,0.85619,0.85617,0.85613,0.85623,200
354,1624389900,0.85617,0.85589,0.85576,0.85621,258
355,1624390200,0.85589,0.85589,0.85576,0.85593,130
356,1624390500,0.85589,0.85597,0.85586,0.85601,110
357,1624390800,0.85597,0.85615,0.85596,0.85617,90
358,1624391100,0.85615,0.85609,0.85603,0.85622,111
359,1624391400,0.8561,0.85617,0.85605,0.85621,195
360,1624391700,0.85617,0.85603,0.85596,0.85621,180
361,1624392000,0.85603,0.8561,0.85586,0.8561,248
362,1624392300,0.85611,0.85595,0.85594,0.85615,80
363,1624392600,0.85593,0.85605,0.85586,0.85611,113
364,1624392900,0.85606,0.85601,0.85597,0.85611,64
365,1624393200,0.85601,0.85599,0.85597,0.85601,13
366,1624393500,0.85599,0.85591,0.85591,0.85611,67
367,1624393800,0.85591,0.8559,0.85587,0.85593,53
368,1624394100,0.8559,0.85597,0.85583,0.85612,166
369,1624394400,0.85597,0.85607,0.85595,0.85611,76
370,1624394700,0.85606,0.85607,0.85603,0.85614,79
371,1624395000,0.85609,0.85613,0.85593,0.85614,330
372,1624395300,0.85617,0.85597,0.85563,0.8563,797
373,1624395600,0.85597,0.85569,0.85558,0.85629,15
374,1624395900,0.85563,0.85575,0.85561,0.85575,21
375,1624396200,0.85575,0.85561,0.85555,0.85611,31
376,1624396500,0.85561,0.85589,0.85561,0.85647,50
377,1624396800,0.85589,0.85596,0.85575,0.85605,15
378,1624397100,0.85596,0.85601,0.85593,0.85603,5
379,1624397400,0.85603,0.85605,0.85601,0.85605,11
380,1624397700,0.85605,0.85597,0.85585,0.85605,13
381,1624398000,0.85597,0.85592,0.85582,0.85598,7
382,1624398300,0.85593,0.85621,0.85591,0.85621,135
383,1624398600,0.85621,0.8562,0.85614,0.85622,17
384,1624398900,0.8562,0.85613,0.85613,0.8564,47
385,1624399200,0.85614,0.85598,0.85597,0.85635,210
386,1624399500,0.85598,0.85591,0.85591,0.85603,48
387,1624399800,0.85591,0.85599,0.85591,0.856,20
388,1624400100,0.85597,0.85593,0.85585,0.85599,126
389,1624400400,0.85593,0.856,0.85591,0.85601,51
390,1624400700,0.856,0.85598,0.85593,0.85601,32
391,1624401000,0.85599,0.85595,0.85588,0.85599,18
392,1624401300,0.85595,0.85588,0.85588,0.85595,17
393,1624401600,0.85588,0.8559,0.85583,0.85591,34
394,1624401900,0.8559,0.85592,0.85589,0.85593,23
395,1624402200,0.85592,0.8559,0.85585,0.85592,35
396,1624402500,0.8559,0.85589,0.85589,0.85593,92
397,1624402800,0.85589,0.85589,0.85585,0.85595,79
398,1624403100,0.85589,0.85593,0.85585,0.85594,49
399,1624403400,0.85593,0.85596,0.85589,0.856,51
400,1624403700,0.85596,0.85575,0.85575,0.85596,114
401,1624404000,0.85575,0.85594,0.85575,0.85596,56
402,1624404300,0.85594,0.85589,0.85589,0.85596,35
403,1624404600,0.85589,0.85587,0.85583,0.85591,44
404,1624404900,0.85587,0.85575,0.85575,0.85589,28
405,1624405200,0.85574,0.85581,0.85563,0.85582,148
406,1624405500,0.85581,0.85577,0.85565,0.85589,189
407,1624405800,0.85577,0.85565,0.85563,0.85577,147
408,1624406100,0.85565,0.85571,0.85563,0.85577,110
409,1624406400,0.85571,0.85601,0.85571,0.85608,165
410,1624406700,0.85601,0.85609,0.85596,0.85609,99
411,1624407000,0.85609,0.85572,0.85567,0.85613,171
412,1624407300,0.85572,0.85595,0.85571,0.85601,103
413,1624407600,0.85595,0.85587,0.85582,0.85597,82
414,1624407900,0.85587,0.85593,0.85587,0.85595,108
415,1624408200,0.85593,0.85599,0.85593,0.8561,149
416,1624408500,0.85599,0.85595,0.85591,0.85605,118
417,1624408800,0.85595,0.85613,0.85595,0.85613,91
