,from,open,close,min,max,volume
200,1624343700,1.18979,1.18991,1.18967,1.19003,521
201,1624344000,1.18991,1.19023,1.18985,1.19041,687
202,1624344300,1.19023,1.19012,1.19011,1.19047,449
203,1624344600,1.19013,1.19042,1.19003,1.19042,485
204,1624344900,1.19043,1.18989,1.18981,1.19043,648
205,1624345200,1.1899,1.19028,1.18982,1.19067,1146
206,1624345500,1.19028,1.19009,1.19006,1.19044,672
207,1624345800,1.19009,1.18959,1.18957,1.19035,796
208,1624346100,1.18958,1.19041,1.18958,1.19074,831
209,1624346400,1.19041,1.19042,1.19036,1.19068,671
210,1624346700,1.19041,1.19035,1.19028,1.19045,615
211,1624347000,1.19035,1.19087,1.19035,1.19105,582
212,1624347300,1.19089,1.19056,1.19037,1.19103,552
213,1624347600,1.19057,1.19103,1.19057,1.19109,600
214,1624347900,1.19102,1.19072,1.19069,1.19114,939
215,1624348200,1.19073,1.1902,1.19015,1.191,804
216,1624348500,1.19021,1.19017,1.18999,1.19033,718
217,1624348800,1.19017,1.18969,1.18951,1.19017,801
218,1624349100,1.18969,1.18973,1.18966,1.18985,526
219,1624349400,1.18973,1.18939,1.18937,1.18994,459
220,1624349700,1.18939,1.18949,1.18921,1.18953,536
221,1624350000,1.18949,1.18932,1.18932,1.18967,386
222,1624350300,1.18931,1.18944,1.18925,1.18964,525
223,1624350600,1.18944,1.19023,1.18941,1.19025,644
224,1624350900,1.19024,1.18969,1.18956,1.19024,750
225,1624351200,1.1897,1.18981,1.1897,1.19002,316
226,1624351500,1.18981,1.18995,1.1897,1.19006,346
227,1624351800,1.18995,1.18969,1.18968,1.19003,391
228,1624352100,1.18969,1.18965,1.18926,1.18969,542
229,1624352400,1.18966,1.18965,1.18949,1.18975,489
230,1624352700,1.18965,1.18955,1.18935,1.18996,352
231,1624353000,1.18955,1.18951,1.18941,1.18967,395
232,1624353300,1.18953,1.18958,1.18949,1.18973,411
233,1624353600,1.18959,1.18935,1.1893,1.18965,266
234,1624353900,1.18934,1.18926,1.18926,1.18943,290
235,1624354200,1.18926,1.18921,1.18917,1.18933,376
236,1624354500,1.18922,1.18851,1.18826,1.18923,988
237,1624354800,1.18852,1.18841,1.18821,1.18863,609
238,1624355100,1.18843,1.18853,1.18822,1.18862,535
239,1624355400,1.18853,1.18831,1.18823,1.18883,367
240,1624355700,1.18831,1.18837,1.1881,1.18842,427
241,1624356000,1.18838,1.18861,1.18838,1.18867,356
242,1624356300,1.18861,1.18879,1.1884,1.18891,614
243,1624356600,1.1888,1.18907,1.18876,1.18917,568
244,1624356900,1.18908,1.18901,1.18894,1.18917,281
245,1624357200,1.18901,1.18893,1.18893,1.18919,326
246,1624357500,1.18893,1.18897,1.18881,1.1891,326
247,1624357800,1.18897,1.18921,1.18897,1.18932,380
248,1624358100,1.18921,1.18887,1.18885,1.18943,296
249,1624358400,1.18887,1.18928,1.18887,1.18931,324
250,1624358700,1.18927,1.18949,1.18927,1.18968,376
251,1624359000,1.18949,1.18934,1.18923,1.18949,338
